MOTIF TF Family
AFP_1 AFP AFP
AHR_1 AHR AHR
AHR_2 AHR AHR
AHR::ARNT_1 AHR::ARNT AHR::ARNT
AHR::ARNT_2 AHR::ARNT AHR::ARNT
AHR::ARNT_3 AHR::ARNT AHR::ARNT
AHR::ARNT::HIF1A_1 AHR::ARNT::HIF1A AHR::ARNT
AIRE_1 AIRE AIRE
AIRE_2 AIRE AIRE
ALX1_1 ALX1 ALX
ALX1_2 ALX1 ALX
ALX1_3 ALX1 ALX
ALX1_4 ALX1 ALX
ALX1_5 ALX1 ALX
ALX1_6 ALX1 ALX
ALX3_1 ALX3 ALX
ALX3_2 ALX3 ALX
ALX3_3 ALX3 ALX
ALX3_4 ALX3 ALX
ALX4_1 ALX4 ALX
ALX4_2 ALX4 ALX
ALX4_3 ALX4 ALX
ALX4_4 ALX4 ALX
AP1_1 AP1 AP
AP1_10 AP1 AP
AP1_2 AP1 AP
AP1_3 AP1 AP
AP1_4 AP1 AP
AP1_5 AP1 AP
AP1_6 AP1 AP
AP1_7 AP1 AP
AP1_8 AP1 AP
AP1_9 AP1 AP
AP1_disc1 AP1 AP
AP1_disc10 AP1 AP
AP1_disc2 AP1 AP
AP1_disc3 AP1 AP
AP1_disc4 AP1 AP
AP1_disc5 AP1 AP
AP1_disc6 AP1 AP
AP1_disc7 AP1 AP
AP1_disc8 AP1 AP
AP1_disc9 AP1 AP
AP3_1 AP3 AP
AR_1 AR AR
AR_2 AR AR
AR_3 AR AR
AR_4 AR AR
AR_5 AR AR
AR_6 AR AR
AR_7 AR AR
AR_8 AR AR
AR_9 AR AR
ARHGEF12_1 ARHGEF12 ARHGEF
ARID3A_1 ARID3A ARID
ARID3A_2 ARID3A ARID
ARID5A_1 ARID5A ARID
ARID5B_1 ARID5B ARID
ARNT_1 ARNT ARNT
ARNT_2 ARNT ARNT
ARNT_3 ARNT ARNT
ARNTL_1 ARNTL ARNTL
ARX_1 ARX ARX
ARX_2 ARX ARX
ARX_3 ARX ARX
ASCL2_1 ASCL2 ASCL
ASCL2_2 ASCL2 ASCL
ATF1_1 ATF1 ATF
ATF1_2 ATF1 ATF
ATF1_3 ATF1 ATF
ATF1_4 ATF1 ATF
ATF2_1 ATF2 ATF
ATF2_2 ATF2 ATF
ATF2_3 ATF2 ATF
ATF3_1 ATF3 ATF
ATF3_disc1 ATF3 ATF
ATF3_disc2 ATF3 ATF
ATF3_disc3 ATF3 ATF
ATF3_disc4 ATF3 ATF
ATF4_1 ATF4 ATF
ATF4_2 ATF4 ATF
ATF4_3 ATF4 ATF
ATF6_1 ATF6 ATF
ATF7_1 ATF7 ATF
ATOH1_1 ATOH1 ATOH
BACH1_1 BACH1 BACH
BACH2_1 BACH2 BACH
BARHL1_1 BARHL1 BARHL
BARHL1_2 BARHL1 BARHL
BARHL1_3 BARHL1 BARHL
BARHL1_4 BARHL1 BARHL
BARHL2_1 BARHL2 BARHL
BARHL2_2 BARHL2 BARHL
BARHL2_3 BARHL2 BARHL
BARHL2_4 BARHL2 BARHL
BARHL2_5 BARHL2 BARHL
BARHL2_6 BARHL2 BARHL
BARHL2_7 BARHL2 BARHL
BARX1_1 BARX1 BARX
BARX1_2 BARX1 BARX
BARX1_3 BARX1 BARX
BARX2_1 BARX2 BARX
BATF_disc1 BATF BATF
BATF_disc2 BATF BATF
BATF_disc3 BATF BATF
BATF3_1 BATF3 BATF
BBX_1 BBX BBX
BCL_disc1 BCL BCL
BCL_disc10 BCL BCL
BCL_disc2 BCL BCL
BCL_disc3 BCL BCL
BCL_disc4 BCL BCL
BCL_disc5 BCL BCL
BCL_disc6 BCL BCL
BCL_disc7 BCL BCL
BCL_disc8 BCL BCL
BCL_disc9 BCL BCL
BCL6B_1 BCL6B BCL6
BCL6B_2 BCL6B BCL6
BDP1_disc1 BDP1 BDP
BDP1_disc2 BDP1 BDP
BDP1_disc3 BDP1 BDP
BHLHA15_1 BHLHA15 BHLH
BHLHE22_1 BHLHE22 BHLH
BHLHE23_1 BHLHE23 BHLH
BHLHE40_1 BHLHE40 BHLH
BHLHE40_2 BHLHE40 BHLH
BHLHE40_3 BHLHE40 BHLH
BHLHE40_4 BHLHE40 BHLH
BHLHE40_disc1 BHLHE40 BHLH
BHLHE40_disc2 BHLHE40 BHLH
BHLHE41_1 BHLHE41 BHLH
BHLHE41_2 BHLHE41 BHLH
BPTF_1 BPTF BPTF
BRCA1_1 BRCA1 BRCA
BRCA1_2 BRCA1 BRCA
BRCA1_disc1 BRCA1 BRCA
BSX_1 BSX BSX
BSX_2 BSX BSX
CACBP_1 CACBP CACBP
CACD_1 CACD CACD
CACD_2 CACD CACD
CBX5_1 CBX5 CBX
CCDC6_1 CCDC6 CCDC
CCNT2_disc1 CCNT2 CCNT
CCNT2_disc2 CCNT2 CCNT
CDC5L_1 CDC5L CDC5L
CDX_1 CDX CDX
CDX1_1 CDX1 CDX
CDX1_2 CDX1 CDX
CDX2_1 CDX2 CDX
CDX2_2 CDX2 CDX
CDX2_3 CDX2 CDX
CEBP_1 CEBP CEBP
CEBP_2 CEBP CEBP
CEBP_3 CEBP CEBP
CEBP_4 CEBP CEBP
CEBP_5 CEBP CEBP
CEBPA_1 CEBPA CEBP
CEBPA_2 CEBPA CEBP
CEBPB_1 CEBPB CEBP
CEBPB_2 CEBPB CEBP
CEBPB_3 CEBPB CEBP
CEBPB_4 CEBPB CEBP
CEBPB_5 CEBPB CEBP
CEBPB_disc1 CEBPB CEBP
CEBPB_disc2 CEBPB CEBP
CEBPD_1 CEBPD CEBP
CEBPD_2 CEBPD CEBP
CEBPE_1 CEBPE CEBP
CEBPG_1 CEBPG CEBP
CEBPG_2 CEBPG CEBP
CEBPG_3 CEBPG CEBP
CENPB_1 CENPB CENPB
CHD2_disc1 CHD2 CHD
CHD2_disc2 CHD2 CHD
CHD2_disc3 CHD2 CHD
CLOCK_1 CLOCK CLOCK
CLOCK::ARNTL_1 CLOCK::ARNTL CLOCK::ARNTL
COMP1_1 COMP1 COMP
CPEB1_1 CPEB1 CPEB
CPHX_1 CPHX CPHX
CREB_1 CREB CREB
CREB1_1 CREB1 CREB
CREB1_10 CREB1 CREB
CREB1_2 CREB1 CREB
CREB1_3 CREB1 CREB
CREB1_4 CREB1 CREB
CREB1_5 CREB1 CREB
CREB1_6 CREB1 CREB
CREB1_7 CREB1 CREB
CREB1_8 CREB1 CREB
CREB1_9 CREB1 CREB
CREB3_1 CREB3 CREB
CREB3_2 CREB3 CREB
CREB3L1_1 CREB3L1 CREB
CREB3L1_2 CREB3L1 CREB
CREB3L1_3 CREB3L1 CREB
CREB3L1_4 CREB3L1 CREB
CREB3L2_1 CREB3L2 CREB
CREB3L2_2 CREB3L2 CREB
CREB5_1 CREB5 CREB
CRX_1 CRX CRX
CRX_2 CRX CRX
CTCF_1 CTCF CTCF
CTCF_2 CTCF CTCF
CTCF_disc1 CTCF CTCF
CTCF_disc10 CTCF CTCF
CTCF_disc2 CTCF CTCF
CTCF_disc3 CTCF CTCF
CTCF_disc4 CTCF CTCF
CTCF_disc5 CTCF CTCF
CTCF_disc6 CTCF CTCF
CTCF_disc7 CTCF CTCF
CTCF_disc8 CTCF CTCF
CTCF_disc9 CTCF CTCF
CTCFL_disc1 CTCFL CTCFL
CUX1_1 CUX1 CUX
CUX1_10 CUX1 CUX
CUX1_2 CUX1 CUX
CUX1_3 CUX1 CUX
CUX1_4 CUX1 CUX
CUX1_5 CUX1 CUX
CUX1_6 CUX1 CUX
CUX1_7 CUX1 CUX
CUX1_8 CUX1 CUX
CUX1_9 CUX1 CUX
CUX2_1 CUX2 CUX
CUX2_2 CUX2 CUX
DBP_1 DBP DBP
DBP_2 DBP DBP
DBP_3 DBP DBP
DBP_4 DBP DBP
DBX1_1 DBX1 DBX
DBX2_1 DBX2 DBX
DDIT3::CEBPA_1 DDIT3::CEBPA DDIT3::CEBPA
DDIT3::CEBPA_2 DDIT3::CEBPA DDIT3::CEBPA
DLX1_1 DLX1 DLX
DLX1_2 DLX1 DLX
DLX1_3 DLX1 DLX
DLX2_1 DLX2 DLX
DLX2_2 DLX2 DLX
DLX2_3 DLX2 DLX
DLX3_1 DLX3 DLX
DLX3_2 DLX3 DLX
DLX4_1 DLX4 DLX
DLX4_2 DLX4 DLX
DLX5_1 DLX5 DLX
DLX5_2 DLX5 DLX
DLX6_1 DLX6 DLX
DMBX1_1 DMBX1 DMBX
DMBX1_2 DMBX1 DMBX
DMRT1_1 DMRT1 DMRT
DMRT2_1 DMRT2 DMRT
DMRT3_1 DMRT3 DMRT
DMRTA1_1 DMRTA1 DMRT
DMRTA2_1 DMRTA2 DMRT
DMRTC2_1 DMRTC2 DMRT
DOBOX4_1 DOBOX4 DOBOX
DOBOX5_1 DOBOX5 DOBOX
DPRX_1 DPRX DPRX
DPRX_2 DPRX DPRX
DRGX_1 DRGX DRGX
DUX4_1 DUX4 DUX
DUXA_1 DUXA DUX
E2F_disc1 E2F E2F
E2F_disc2 E2F E2F
E2F_disc3 E2F E2F
E2F_disc4 E2F E2F
E2F_disc5 E2F E2F
E2F_disc6 E2F E2F
E2F_disc7 E2F E2F
E2F_disc8 E2F E2F
E2F1_1 E2F1 E2F
E2F1_10 E2F1 E2F
E2F1_11 E2F1 E2F
E2F1_12 E2F1 E2F
E2F1_13 E2F1 E2F
E2F1_14 E2F1 E2F
E2F1_15 E2F1 E2F
E2F1_16 E2F1 E2F
E2F1_17 E2F1 E2F
E2F1_18 E2F1 E2F
E2F1_19 E2F1 E2F
E2F1_2 E2F1 E2F
E2F1_20 E2F1 E2F
E2F1_21 E2F1 E2F
E2F1_22 E2F1 E2F
E2F1_3 E2F1 E2F
E2F1_4 E2F1 E2F
E2F1_5 E2F1 E2F
E2F1_6 E2F1 E2F
E2F1_7 E2F1 E2F
E2F1_8 E2F1 E2F
E2F1_9 E2F1 E2F
E2F2_1 E2F2 E2F
E2F2_2 E2F2 E2F
E2F2_3 E2F2 E2F
E2F2_4 E2F2 E2F
E2F3_1 E2F3 E2F
E2F3_2 E2F3 E2F
E2F3_3 E2F3 E2F
E2F3_4 E2F3 E2F
E2F4_1 E2F4 E2F
E2F4_2 E2F4 E2F
E2F4_3 E2F4 E2F
E2F4_4 E2F4 E2F
E2F7_1 E2F7 E2F
E2F8_1 E2F8 E2F
E4F1_1 E4F1 E4F
EBF1_1 EBF1 EBF
EBF1_2 EBF1 EBF
EBF1_3 EBF1 EBF
EBF1_4 EBF1 EBF
EBF1_disc1 EBF1 EBF
EBF1_disc2 EBF1 EBF
EBOX_1 EBOX EBOX
EGR_1 EGR EGR
EGR_2 EGR EGR
EGR1_1 EGR1 EGR
EGR1_2 EGR1 EGR
EGR1_3 EGR1 EGR
EGR1_4 EGR1 EGR
EGR1_5 EGR1 EGR
EGR1_6 EGR1 EGR
EGR1_7 EGR1 EGR
EGR1_disc1 EGR1 EGR
EGR1_disc2 EGR1 EGR
EGR1_disc3 EGR1 EGR
EGR1_disc4 EGR1 EGR
EGR1_disc5 EGR1 EGR
EGR1_disc6 EGR1 EGR
EGR1_disc7 EGR1 EGR
EGR2_1 EGR2 EGR
EGR2_2 EGR2 EGR
EGR2_3 EGR2 EGR
EGR3_1 EGR3 EGR
EGR3_2 EGR3 EGR
EGR3_3 EGR3 EGR
EGR4_1 EGR4 EGR
EGR4_2 EGR4 EGR
EHF_1 EHF EHF
EHF_2 EHF EHF
ELF1_1 ELF1 ELF
ELF1_2 ELF1 ELF
ELF1_3 ELF1 ELF
ELF1_disc1 ELF1 ELF
ELF1_disc2 ELF1 ELF
ELF1_disc3 ELF1 ELF
ELF2_1 ELF2 ELF
ELF3_1 ELF3 ELF
ELF3_2 ELF3 ELF
ELF3_3 ELF3 ELF
ELF4_1 ELF4 ELF
ELF5_1 ELF5 ELF
ELF5_2 ELF5 ELF
ELF5_3 ELF5 ELF
ELF5_4 ELF5 ELF
ELK1_1 ELK1 ELK
ELK1_2 ELK1 ELK
ELK1_3 ELK1 ELK
ELK1_4 ELK1 ELK
ELK1_5 ELK1 ELK
ELK1_6 ELK1 ELK
ELK3_1 ELK3 ELK
ELK3_2 ELK3 ELK
ELK4_1 ELK4 ELK
ELK4_2 ELK4 ELK
EMX1_1 EMX1 EMX
EMX1_2 EMX1 EMX
EMX2_1 EMX2 EMX
EMX2_2 EMX2 EMX
EMX2_3 EMX2 EMX
EN1_1 EN1 EN
EN1_2 EN1 EN
EN1_3 EN1 EN
EN1_4 EN1 EN
EN1_5 EN1 EN
EN1_6 EN1 EN
EN1_7 EN1 EN
EN2_1 EN2 EN
EN2_2 EN2 EN
EN2_3 EN2 EN
EN2_4 EN2 EN
EOMES_1 EOMES EOMES
EOMES_2 EOMES EOMES
EOMES_3 EOMES EOMES
EP300_1 EP300 EP300
EP300_disc1 EP300 EP300
EP300_disc10 EP300 EP300
EP300_disc2 EP300 EP300
EP300_disc3 EP300 EP300
EP300_disc4 EP300 EP300
EP300_disc5 EP300 EP300
EP300_disc6 EP300 EP300
EP300_disc7 EP300 EP300
EP300_disc8 EP300 EP300
EP300_disc9 EP300 EP300
ERF_1 ERF ERF
ERG_1 ERG ERG
ERG_2 ERG ERG
ERG_3 ERG ERG
ERG_4 ERG ERG
ESR1_1 ESR1 ESR
ESR1_2 ESR1 ESR
ESR1_3 ESR1 ESR
ESR1_4 ESR1 ESR
ESR2_1 ESR2 ESR
ESRRA_1 ESRRA ESRR
ESRRA_2 ESRRA ESRR
ESRRA_3 ESRRA ESRR
ESRRA_4 ESRRA ESRR
ESRRA_5 ESRRA ESRR
ESRRA_6 ESRRA ESRR
ESRRA_7 ESRRA ESRR
ESRRA_disc1 ESRRA ESRR
ESRRA_disc2 ESRRA ESRR
ESRRA_disc3 ESRRA ESRR
ESRRA_disc4 ESRRA ESRR
ESRRB_1 ESRRB ESRR
ESRRB_2 ESRRB ESRR
ESRRG_1 ESRRG ESRR
ESRRG_2 ESRRG ESRR
ESRRG_3 ESRRG ESRR
ESX1_1 ESX1 ESX
ESX1_2 ESX1 ESX
ESX1_3 ESX1 ESX
ETS_1 ETS ETS
ETS_2 ETS ETS
ETS_disc1 ETS ETS
ETS_disc2 ETS ETS
ETS_disc3 ETS ETS
ETS_disc4 ETS ETS
ETS_disc5 ETS ETS
ETS_disc6 ETS ETS
ETS_disc7 ETS ETS
ETS_disc8 ETS ETS
ETS_disc9 ETS ETS
ETS1_1 ETS1 ETS
ETS1_2 ETS1 ETS
ETS1_3 ETS1 ETS
