motif ic_mean ic_median lib lab_mean lab_median lab
MA0004.1 1.1545 1.2583 JASPAR 2 2 2
MA0006.1 1.0773 1.194 JASPAR 3 2 3
MA0009.1 1.2586 1.5328 JASPAR 2 1 2
MA0017.1 0.5948 0.6722 JASPAR 4 4 4
MA0019.1 0.7571 0.7757 JASPAR 4 3 4
MA0025.1 0.8539 1.0548 JASPAR 3 3 3
MA0027.1 0.2593 0.1648 JASPAR 4 4 4
MA0028.1 0.6346 0.6294 JASPAR 4 4 4
MA0029.1 0.902 1.0288 JASPAR 3 3 3
MA0030.1 0.7377 0.5824 JASPAR 4 4 4
MA0031.1 0.9615 1.0223 JASPAR 3 3 3
MA0032.1 0.4716 0.1065 JASPAR 4 4 4
MA0033.1 0.5152 0.2434 JASPAR 4 4 4
MA0038.1 0.7802 0.388 JASPAR 4 4 4
MA0040.1 0.7781 0.8133 JASPAR 4 3 4
MA0041.1 0.8633 0.7669 JASPAR 3 3 3
MA0042.1 0.7925 0.7061 JASPAR 4 3 4
MA0043.1 0.5682 0.6012 JASPAR 4 4 4
MA0046.1 0.7265 0.7094 JASPAR 4 3 4
MA0048.1 0.976 1.0578 JASPAR 3 3 3
MA0051.1 0.5862 0.566 JASPAR 4 4 4
MA0056.1 0.9129 1.038 JASPAR 3 3 3
MA0057.1 0.5452 0.5018 JASPAR 4 4 4
MA0059.1 0.8482 1.1257 JASPAR 3 2 3
MA0063.1 0.6925 0.5626 JASPAR 4 4 4
MA0066.1 0.7332 0.7985 JASPAR 4 3 4
MA0067.1 0.583 0.558 JASPAR 4 4 4
MA0068.1 0.248 0.2483 JASPAR 4 4 4
MA0069.1 0.8008 0.8079 JASPAR 4 3 4
MA0070.1 0.7565 0.8809 JASPAR 4 3 4
MA0071.1 0.8986 1.1408 JASPAR 3 2 3
MA0072.1 0.9314 1.1472 JASPAR 3 2 3
MA0073.1 0.5238 0.5284 JASPAR 4 4 4
MA0074.1 0.6175 0.7083 JASPAR 4 3 4
MA0075.1 1.5114 1.5636 JASPAR 1 1 1
MA0077.1 0.8898 0.9196 JASPAR 3 3 3
MA0078.1 0.8502 1.2125 JASPAR 3 2 3
MA0081.1 1.0486 1.4056 JASPAR 3 2 3
MA0084.1 0.7272 0.5998 JASPAR 4 4 4
MA0087.1 1.0387 1.1726 JASPAR 3 2 3
MA0088.1 0.397 0.2931 JASPAR 4 4 4
MA0089.1 0.9933 1.0998 JASPAR 3 2 3
MA0090.1 0.6539 0.695 JASPAR 4 4 4
MA0091.1 0.9241 0.8531 JASPAR 3 3 3
MA0092.1 0.7315 0.6396 JASPAR 4 4 4
MA0101.1 0.6379 0.8458 JASPAR 4 3 4
MA0107.1 0.8937 0.9792 JASPAR 3 3 3
MA0108.2 0.653 0.2789 JASPAR 4 4 4
MA0109.1 0.6094 0.4813 JASPAR 4 4 4
MA0111.1 0.5456 0.5087 JASPAR 4 4 4
MA0115.1 1.1196 1.3562 JASPAR 2 2 2
MA0116.1 0.8578 0.6972 JASPAR 3 4 4
MA0117.1 0.4939 0.5712 JASPAR 4 4 4
MA0119.1 0.8189 1.1524 JASPAR 4 2 4
MA0122.1 0.6409 0.3256 JASPAR 4 4 4
MA0124.1 1.0206 1.1 JASPAR 3 2 3
MA0125.1 0.9262 1.0257 JASPAR 3 3 3
MA0130.1 0.8605 1.0652 JASPAR 3 3 3
MA0131.1 0.8476 1.038 JASPAR 3 3 3
MA0132.1 1.0977 1.379 JASPAR 2 2 2
